一	yī	one; a, an; alone	一點 一點兒 一些	yīdiǎn yīdiǎnr yīxiē
勺	sháo	spoon, ladle; unit of volume		
口	kǒu	mouth; open end; entrance, gate	十字路口 門口 路口	shízìlùkǒu ménkǒu lùkǒu
日	rì	sun; day; daytime	日本 生日 星期日	Rìběn shēngrì Xīngqīrì
白	bái	white; pure, unblemished; bright	白色 白白 白菜	báisè báibái báicài
的	de	possessive, adjectival suffix	別的 的話 目的	biéde dehuà mùdì
止	zhǐ	stop, halt, desist; detain	不止 防止 截止	bùzhǐ fángzhǐ jiézhǐ
正	zhèng	right, proper, correct	正在 真正 正常	zhèngzài zhēnzhèng zhèngcháng
是	shì	indeed, yes, right; to be; demonstrative pronoun, this, that	可是 還是 總是	kěshì háishi zǒngshì
卜	bǔ	fortune telling; prophesy		
不	bù	no, not; un-; negative prefix	對不起 不錯 不客氣	duìbuqǐ bùcuò bùkèqi
二	èr	two; twice		
戈	gē	halberd, spear, lance; rad. 62		
手	shǒu	hand	手機 洗手間 手指	shǒujī xǐshǒujiān shǒuzhǐ
我	wǒ	our, us, i, me, my, we	我們 自我	wǒmen zìwǒ
十	shí	ten, tenth; complete; perfect	十字路口 十分 十足	shízìlùkǒu shífēn shízú
人	rén	man; people; mankind; someone else	家人 工人 別人	jiārén gōngrén biéren
又	yòu	and, also, again, in addition		
月	yuè	moon; month; KangXi radical 74	月亮 月餅 月份	yuèliang yuèbǐng yuèfèn
肉	ròu	flesh; meat; KangXi radical 130	肌肉 烤肉 肉麻	jīròu kǎoròu ròumá
有	yǒu	have, own, possess; exist	有趣 有時候 有用	yǒuqù yǒushíhou yǒuyòng
大	dà	big, great, vast, large, high	大學 大家 大人	Dàxué dàjiā dàren
土	tǔ	soil, earth; items made of earth	土地 本土 領土	tǔdì běntǔ lǐngtǔ
才	cái	talent, ability; just, only	剛才 才能 口才	gāngcái cáinéng kǒucái
在	zài	be at, in, on; consist in, rest	現在 正在 存在	xiànzài zhèngzài cúnzài
了	le	to finish; particle of completed action	了解 怎麼了 為了	liǎojiě zěnmele wèile
中	zhōng	central; center, middle; in the midst of; hit (target); attain	中國 中午 中學	Zhōngguó zhōngwǔ zhōngxué
至	zhì	reach, arrive; extremely, very	甚至 至少 至於	shènzhì zhìshǎo zhìyú
刀	dāo	knife; old coin; measure	刀子 剪刀 開刀	dāozi jiǎndāo kāidāo
到	dào	go to, arrive, been to	遲到 到處 到底	chídào dàochù dàodǐ
八	bā	eight; all around, all sides	八卦 八字	bāguà bāzì
欠	qiàn	owe, lack, be deficient; KangXi radical number 76		
目	mù	eye; look, see; division, topic	節目 目的 目前	jiémù mùdì mùqián
次	cì	order, sequence; next	其次 次數 場次	qícì cìshù chǎngcì
貝	bèi	sea shell; money, currency	寶貝 貝殼 分貝	bǎobèi bèiké fēnbèi
資	zī	property; wealth; capital	投資 資料 資源	tóuzī zīliào Zīyuán
弓	gōng	bow; curved, arched; KangXi radical number 57		
兀	wù	to cut off the feet	突兀	tūwù
女	nǚ	woman, girl; feminine; rad. 38	女兒 女生 女人	nǚér nǚshēng nǚrén
西	xī	west(ern); westward, occident	東西 西部 西邊	dōngxī xībù xībiān
要	yào	necessary, essential; necessity	重要 需要 要是	zhòngyào xūyào yàoshi
以	yǐ	by means of; thereby, therefore; consider as; in order to	可以 以前 以後	kěyǐ yǐqián yǐhòu
丁	dīng	male adult; robust, vigorous; 4th heavenly stem		
可	kě	may, can, -able; possibly	可以 可是 可能	kěyǐ kěshì kěnéng
立	lì	stand; let stand; establish, set	建立 立刻 成立	jiànlì lìkè chénglì
言	yán	words, speech; speak, say	語言 留言 總而言之	yǔyán liúyán zǒngéryánzhī
這	zhè	this, the, here	這裡 這兒 這邊	zhèlǐ zhèr zhèbiān
古	gǔ	old, classic, ancient	古代 古老 古典	gǔdài gǔlǎo gǔdiǎn
固	gù	to become solid, solidify; strength	固定 膽固醇 鞏固	gùdìng dǎngùchún gǒnggù
個	gè	numerary adjunct, piece; single	個人 個子 個別	gèrén gèzi gèbié
小	xiǎo	small, tiny, insignificant	小姐 小時 小孩	xiǎojie xiǎoshí xiǎohái
你	nǐ	you, second person pronoun	你們	nǐmen
曾	céng	already; sign of past	曾經	céngjīng
會	huì	to assemble, meet together; a meeting; an organization	晚會 一會兒 開會	wǎnhuì yīhuìr kāihuì
子	zi	offspring, child; fruit, seed of; 1st terrestrial branch	車子 孩子 兒子	chēzi háizi érzi
好	hǎo	good, excellent, fine; well	好看 好吃 不好意思	hǎokàn hǎochī bùhǎoyìsi
爪	zhǎo	claw, nail, talon; animal feet		
火	huǒ	fire, flame; burn; anger, rage	火車 煙火 火柴	huǒchē yānhuǒ huǒchái
為	wèi	do, handle, govern, act; be	為什麼 因為 認為	wèishénme yīnwèi rènwéi
上	shàng	top; superior, highest; go up, send up	早上 上午 晚上	zǎoshang shàngwǔ wǎnshang
木	mù	tree; wood, lumber; wooden	木頭 樹木 木材	mùtou shùmù mùcái
來	lái	come, coming; return, returning	進來 起來 後來	jìnlái qǐlai hòulái
力	lì	power, capability, influence	巧克力 努力 力量	qiǎokèlì nǔlì lìliang
五	wǔ	five; surname	五金	wǔjīn
學	xué	learning, knowledge; school	學生 大學 學校	xuésheng Dàxué xuéxiào
乙	yǐ	second; 2nd heavenly stem		
京	jīng	capital city	京劇	Jīngjù
尤	yóu	especially, particularly	尤其	yóuqí
就	jiù	just, simply; to come, go to; to approach, near	成就 就是 就算	chéngjiù jiùshì jiùsuàn
入	rù	enter, come in(to), join	加入 深入 進入	jiārù shēnrù jìnrù
六	liù	number six		
父	fù	father; KangXi radical 88	父親 父母 祖父	fùqīn fùmǔ zǔfù
交	jiāo	mix; intersect; exchange, communicate; deliver	交通 交流 交友	jiāotōng jiāoliú jiāoyǒu
也	yě	also; classical final particle of strong affirmation or identity	也許	yěxǔ
用	yòng	use, employ, apply, operate; use	有用 信用卡 不用	yǒuyòng xìnyòngkǎ bùyòng
匕	bǐ	spoon, ladle; knife, dirk		
